fork_owner,fork_url,owner_type,created_at,pushed_at,size,stars,forks_of_fork,open_issues,has_homepage,is_archived
ndak79,https://github.com/ndak79/claude-code-templates,User,2025-12-27T08:24:58Z,2025-12-27T03:31:40Z,27269,0,0,0,True,False
pierluigipisanti,https://github.com/pierluigipisanti/claude-code-templates,User,2025-12-27T05:04:38Z,2025-12-27T03:31:40Z,27269,0,0,0,True,False
Jaehyeon-kr,https://github.com/Jaehyeon-kr/claude-code-templates,User,2025-12-26T17:31:42Z,2025-12-26T03:33:55Z,27259,0,0,0,True,False
LITTLE-BEAR0402,https://github.com/LITTLE-BEAR0402/claude-code-templates,User,2025-12-26T17:09:39Z,2025-12-26T03:33:55Z,27259,0,0,0,True,False
Francis-cw,https://github.com/Francis-cw/claude-code-templates,User,2025-12-26T14:26:35Z,2025-12-26T03:33:55Z,27259,0,0,0,True,False
acomol,https://github.com/acomol/claude-code-templates,User,2025-12-26T11:35:49Z,2025-12-26T03:33:55Z,27259,0,0,0,True,False
quanap5,https://github.com/quanap5/claude-code-templates,User,2025-12-26T06:04:01Z,2025-12-26T03:33:55Z,27259,0,0,0,True,False
geekwolverine,https://github.com/geekwolverine/claude-code-templates,User,2025-12-26T00:50:23Z,2025-12-25T03:34:36Z,27658,0,0,0,True,False
avidwilson0987-svg,https://github.com/avidwilson0987-svg/claude-code-templates,User,2025-12-25T21:07:44Z,2025-12-25T03:34:36Z,27658,1,0,0,True,False
digeoinfo,https://github.com/digeoinfo/claude-code-templates,Organization,2025-12-25T15:47:34Z,2025-12-25T03:34:36Z,27658,0,0,0,True,False
ashokuppu,https://github.com/ashokuppu/claude-code-templates,User,2025-12-25T14:07:56Z,2025-12-25T03:34:36Z,27658,0,0,0,True,False
javiondoby,https://github.com/javiondoby/claude-code-templates,User,2025-12-25T12:09:48Z,2025-12-25T03:34:36Z,27658,0,0,0,True,False
pmaojo,https://github.com/pmaojo/gemini-cli-templates,User,2025-12-25T10:25:00Z,2026-01-13T03:29:24Z,77277,26,3,6,True,False
Gamain,https://github.com/Gamain/claude-code-templates,User,2025-12-25T09:57:00Z,2025-12-25T03:34:36Z,27658,0,0,0,True,False
deepUZ777,https://github.com/deepUZ777/claude-code-templates,User,2025-12-25T07:42:22Z,2025-12-25T03:34:36Z,27658,0,0,0,True,False
chenbing0226,https://github.com/chenbing0226/claude-code-templates,User,2025-12-25T02:27:47Z,2025-12-24T13:43:21Z,25810,0,0,0,True,False
r1choo,https://github.com/r1choo/claude-code-templates,User,2025-12-25T01:23:32Z,2025-12-25T01:24:03Z,26068,0,0,1,True,False
callahan248,https://github.com/callahan248/claude-code-templates,User,2025-12-24T23:35:22Z,2026-01-15T08:44:39Z,44551,1,0,0,True,False
